名次	语文	数学	英语	物理	化学	生物	政治	历史	地理	总分	平均分
0	平均	66.7	67.9	65.9	66.9	68.9	68.0	不及格	68.1	73.0	536.9	不及格
1	小沈	94	95	72	86	78	78	不及格	95	96	643.0	71.4
2	小郑	84	93	不及格	94	86	71	69	81	71	624.0	69.3
3	小张	不及格	87	不及格	88	95	78	91	不及格	94	619.0	68.8
4	小朱	97	91	88	86	86	不及格	61	不及格	82	604.0	67.1
5	小施	88	74	不及格	不及格	78	87	96	88	90	599.0	66.6
6	小华	不及格	85	85	72	62	87	94	73	不及格	592.0	65.8
7	小赵	73	85	80	82	93	不及格	64	87	不及格	587.0	65.2
8	小钱	不及格	91	81	92	72	不及格	不及格	65	83	584.0	64.9
9	小金	78	84	77	不及格	79	82	不及格	74	94	582.0	64.7
10	小何	86	不及格	86	不及格	76	92	79	95	不及格	577.0	64.1
11	小吴	不及格	83	80	94	90	86	不及格	不及格	64	574.0	63.8
12	小孔	不及格	86	88	83	80	90	不及格	78	不及格	573.0	63.7
13	小吕	不及格	不及格	81	不及格	95	80	不及格	81	99	568.0	63.1
14	小严	不及格	71	77	60	91	79	90	不及格	61	566.0	62.9
15	小卫	70	67	不及格	96	94	69	62	72	72	565.0	62.8
16	小秦	不及格	不及格	64	78	89	91	不及格	94	61	565.0	62.8
17	小魏	75	不及格	不及格	85	不及格	60	97	99	69	563.0	62.6
18	小冯	不及格	74	83	69	不及格	78	73	不及格	不及格	551.0	61.2
19	小许	不及格	72	99	不及格	不及格	92	62	92	65	551.0	61.2
20	小曹	63	不及格	不及格	94	不及格	不及格	73	91	78	544.0	60.4
21	小陈	98	90	64	71	90	65	不及格	不及格	89	542.0	60.2
22	小孙	95	64	87	79	不及格	70	不及格	72	87	538.0	不及格
23	小杨	86	93	87	不及格	75	不及格	不及格	60	81	531.0	不及格
24	小蒋	82	不及格	63	70	60	67	不及格	69	92	518.0	不及格
25	小楮	90	不及格	70	不及格	88	73	69	74	60	515.0	不及格
26	小李	87	不及格	81	不及格	73	不及格	不及格	74	97	504.0	不及格
27	小尤	74	67	63	不及格	不及格	89	不及格	66	76	504.0	不及格
28	小韩	83	70	不及格	74	不及格	不及格	不及格	93	78	495.0	不及格
29	小周	不及格	不及格	66	65	不及格	不及格	70	不及格	89	466.0	不及格
30	小王	75	83	不及格	不及格	72	不及格	不及格	64	80	450.0	不及格
